estabelecimento_referencia,position,title,rating,reviews,type,thumbnail,latitude,longitude
Fazenda Café,1,Bistrô São Francisco,5.0,2,"['Bistro', 'Coffee shop']",http://www.google.com/maps/vt/data=9mA1rG6vxUJSnvqQ289UeHqBkgyLDig5CoRdcfkTbifrLv8jwlZMnpw90lm-LDozV50Aai0YMU-Df5sSam-8keK8mdGBuSt-qYfBCNhsS2JI-IoC6DC7c7dZF916cnz74GDlDm85vsSISs9zbt7MDWM,-23.5488637,-46.6366294
Fazenda Café,2,Café Girondino,4.5,6548,"['Cafe', 'Breakfast', 'Cafeteria', 'Cocktail bar', 'Coffee shop', 'Cosplay cafe', 'Diner', 'Pub', 'Restaurant', 'Wine bar']",https://lh5.googleusercontent.com/p/AF1QipO9pysE9lNgSaF6eps5O1SlvR-_e2g16fgPtGPj=w156-h156-n-k-no,-23.5446825,-46.634227599999996
Fazenda Café,3,Café Fazenda Floresta,5.0,5,['Corporate office'],https://lh5.googleusercontent.com/p/AF1QipMss0o4tPlFRzhLuBmITX2qCdfD_TOIeiOqtfeK=w156-h156-n-k-no,-23.562455399999997,-46.7122828
Fazenda Café,4,Caffè Latte,4.5,812,"['Cafe', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipPPR0dPNSrWteqir1JnDK3WjGvYA4WoTquwz-DR=w156-h156-n-k-no,-23.5463556,-46.634951199999996
Fazenda Café,5,Café da Cidade,4.7,34,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipMey6nCN4tntBZSU3ia5kzSCU9xVxVerHAqMkPx=w156-h156-n-k-no,-23.5471723,-46.6351148
Café Impresso,1,Café Mestiço,4.6,417,"['Cafe', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipMwjQvZzkc8ITJMl7e56W2iwmAPqFYgEmDts3_2=w156-h156-n-k-no,-23.5683626,-46.6487867
Café Impresso,2,Casa do Café,3.4,10,"['Cafeteria', 'Cafe', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipNnGH8wxFOI6QyYojw6Gwj9_ECwhEDheghlape0=w156-h156-n-k-no,-23.562545,-46.655721799999995
Café Impresso,3,Sterna Café,4.3,88,"['Coffee shop', 'Cafe']",https://lh5.googleusercontent.com/p/AF1QipOFmys3Dp3Jb2hmnZrS-rjSRMUNHYT0bz4ExNq3=w156-h156-n-k-no,-23.5628133,-46.653711
Café Impresso,4,Suplicy - Cafés Especiais - MASP,4.2,73,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipPbvA10kMkJuhCnGSbOzVe4icnQIlkAbLQ8T96y=w156-h156-n-k-no,-23.561462,-46.656106
Café Impresso,5,Il Pastaio,4.4,17,['Cafe'],https://lh5.googleusercontent.com/p/AF1QipMM0FT6NbydHWf-loL6kCdRCN23Br-luPNRgrC7=w156-h156-n-k-no,-23.5711062,-46.6451912
Coffee With Cookie,1,True Coffee Inc.,4.8,302,"['Coffee shop', 'Cafe']",https://lh5.googleusercontent.com/p/AF1QipMOYK4WZ-T1CK_vVp0xdrrtQXZa9yzU2vgl_l3D=w156-h156-n-k-no,-23.603295499999998,-46.691229899999996
Coffee With Cookie,2,Grand Coffee Hall,4.1,46,"['Coffee shop', 'Bistro', 'Function room facility']",https://lh5.googleusercontent.com/p/AF1QipNfOSsy9hhhzb6QeovTqon9tWOX7ukGm4US-LEP=w156-h156-n-k-no,-23.6040417,-46.6941602
Coffee With Cookie,3,Café com Moda,0.0,0,['Cafeteria'],http://www.google.com/maps/vt/data=pxEzDohNya3fJhoxv4Qzi4bPzgjtOX-wStD_ZWffexIMkq2UI8FCd9ihaMNcwXRtzKRFLYHENnMkNXR9tlUuAyv3WfHnSr68H7WBXDB_i0opc_x27-etmr_-Qn4fkEBAgwPInj3U5656RaA1PeGkfqo,-23.610653,-46.682659699999995
Coffee With Cookie,4,The Coffee,4.9,46,"['Coffee shop', 'Coffee store']",https://lh5.googleusercontent.com/p/AF1QipMeump1UuzX8Go3RByE2KDZ26xhvqPmRHhJTXnV=w156-h156-n-k-no,-23.6090755,-46.69459940000001
Café 10,1,Caffè Latte,4.5,812,"['Cafe', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipPPR0dPNSrWteqir1JnDK3WjGvYA4WoTquwz-DR=w156-h156-n-k-no,-23.5463556,-46.634951199999996
Café 10,2,Café Ofício,4.7,16,"['Coffee shop', 'Cafe']",https://lh5.googleusercontent.com/p/AF1QipNvJnxQMBczoxvLz3E9Ow3_QQhJvQ_eU9vwTXdA=w156-h156-n-k-no,-23.5468376,-46.644976199999995
Café 10,3,Starbucks,4.4,4005,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipNpCrSgazDw4Cv5GFxPMYLkbQo5jMXQnEraPwd3=w156-h156-n-k-no,-23.544853099999997,-46.6429662
Café 10,4,Café Girondino,4.5,6548,"['Cafe', 'Breakfast', 'Cafeteria', 'Cocktail bar', 'Coffee shop', 'Cosplay cafe', 'Diner', 'Pub', 'Restaurant', 'Wine bar']",https://lh5.googleusercontent.com/p/AF1QipO9pysE9lNgSaF6eps5O1SlvR-_e2g16fgPtGPj=w156-h156-n-k-no,-23.5446825,-46.634227599999996
Café 10,5,Buono Café,4.4,101,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipOVGbwdxk-uedGsg7kNChPEL8kg46oBocEhiyxR=w156-h156-n-k-no,-23.544209000000002,-46.644713100000004
MUG.sp,1,Bogo Café,4.8,165,"['Cafeteria', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipNaUik7jHQOGZJrpB0ZexsUCGBLHY1c2FME1Gg0=w156-h156-n-k-no,-23.5720632,-46.6553421
MUG.sp,2,café zinn,4.3,545,"['Coffee shop', 'Breakfast', 'Brunch', 'Cafe', 'Coworking space', 'Diner', 'Restaurant']",https://lh5.googleusercontent.com/p/AF1QipMMmQNTeGNvIq46UkJh5V8Xo7QEfCQVkFPw0ghi=w156-h156-n-k-no,-23.564198899999997,-46.6684688
MUG.sp,3,Padoca of Maní,4.4,2488,"['Bakery', 'Breakfast', 'Espresso bar']",https://lh5.googleusercontent.com/p/AF1QipN882NeCkIzpzzdJoCiP_ILZMazKfIqfMFl_K-2=w156-h156-n-k-no,-23.5667714,-46.679288
MUG.sp,4,Perseu Coffee House,4.5,1237,"['Coffee shop', 'Cafe']",https://lh5.googleusercontent.com/p/AF1QipPSlBhFWfajNtdb37lVWOMbbzkqo_TdWNojW4Yp=w156-h156-n-k-no,-23.5593689,-46.6611019
MUG.sp,5,Café Habitual,4.5,609,['Cafe'],https://lh5.googleusercontent.com/p/AF1QipNo1bZrmlijcsCa2PkXQlp7cxRzihpCuZsffXe-=w156-h156-n-k-no,-23.55973,-46.6681988
Carline Café,1,Le Manjue Café VNC,4.2,158,"['Coffee shop', 'Diner']",https://lh5.googleusercontent.com/p/AF1QipOnfS2Igf0yLlzyrh_GVJa-ikpIDmgt_Ck27P46=w156-h156-n-k-no,-23.595820399999997,-46.666809300000004
Carline Café,2,Bread & Company Vila Nova Conceição,4.1,905,"['Breakfast', 'Bakery', 'Coffee store', 'Confectionery', 'Pizza Delivery', 'Pizza', 'Pizza Takeout']",https://lh5.googleusercontent.com/p/AF1QipPldYA3208fJ8hzcbuzy7_eJM2EMRbtY18bLifV=w156-h156-n-k-no,-23.591165699999998,-46.6675766
Carline Café,3,Le Pain Quotidien,4.4,1451,"['Restaurant', 'Bakery', 'Breakfast', 'Brunch', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipNd4LZGRgwdLPdzMNj4NpoKwRVsN47OMu4BhXke=w156-h156-n-k-no,-23.5955162,-46.6702587
Carline Café,4,Small Talk Café - Cafeteria e Sala de Reunião na Vila Olímpia,4.4,41,"['Coffee shop', 'Coffee store', 'Coworking space']",https://lh5.googleusercontent.com/p/AF1QipN7KpeRkTLU4tD0RWPv9pcaqNoyN0qf3N0zaK1H=w156-h156-n-k-no,-23.5923546,-46.6739447
