Estabelecimento_ID,inicio,fim,madrugada,manha,tarde,noite,inicio_periodo,fim_periodo
ChIJN7NrfCz4zpQRj86K_7EhmHw,8:0,15:0,0,66,43,0,manha,tarde
ChIJYWyKj973zpQRkUgS8WkGhNM,17:0,24:0,0,0,28,85,tarde,noite
ChIJFbi5PZf5zpQRal9dfXGK4kM,,,0,0,0,0,,
ChIJZcU7PX33zpQRrunucVUD688,11:0,15:30,0,15,51,0,manha,tarde
ChIJD0lQoK5QzpQRUNWMgKzyFpk,11:0,23:30,0,15,100,76,manha,noite
ChIJ64q3xtn5zpQRgyu48iHkIZ0,8:0,22:0,0,66,100,51,manha,noite
ChIJzxOM-Lb5zpQRlpLjeNnV4ns,11:0,16:0,0,15,58,0,manha,tarde
ChIJt_PsxzX2zpQRYLNGTDlE8-Q,12:0,24:0,0,0,100,85,tarde,noite
ChIJpfmyrbBezpQRHk6hXwLxUQ8,11:30,15:0,0,7,43,0,manha,tarde
ChIJs7mfsN35zpQRzfDI4iRe4s8,11:0,15:30,0,15,51,0,manha,tarde
ChIJQ6fMYs35zpQRImkM1mBXzNw,11:30,24:0,0,7,100,85,manha,noite
ChIJGWYk5a_5zpQRR8DDoslwpfY,11:0,18:30,0,15,94,0,manha,tarde
ChIJWSAyR6P3zpQRMyePaS0mxs4,18:0,23:30,0,0,13,76,tarde,noite
